business,contact_name,phone,email,social,category,demo_url,date_found,outreach_method,outreach_date,status,notes
Pacheco Mobile Mechanic,,(705) 229-0694,,,Auto Repair,https://mexemexe02.github.io/pacheco-mobile-mechanic/,2026-06-02,sms,2026-06-02,sent,sent — SMS 6/2 — phone + demo confirmed
Carmen's Maid Service,,(705) 734-1118,,,Cleaning,https://mexemexe02.github.io/carmens-maid-service/,2026-06-02,sms,2026-06-02,sent,sent — SMS 6/2 — phone + demo confirmed BROWSER-CONFIRMED Canada411 2026-06-08: 705-734-1118=Carmens Maid Service. CORRECT SMS.
Pawfection Grooming Boutique,,(705) 734-3647,pawfection@hotmail.ca,,Dog Grooming,https://mexemexe02.github.io/pawfection-grooming/,2026-06-02,email,2026-06-02,dead,DEAD — already has website (verified domain)
Pawtricia's Dog Grooming,,(416) 857-5300,pawtricias.dog.grooming@gmail.com,,Dog & Cat Grooming,https://mexemexe02.github.io/pawtricias-dog-grooming/,2026-06-02,email,2026-06-02,sent,sent — emailed 6/2 — no FB found
Fitness Training with Olga,,,@FitnessTrainingBarrie,,Personal Training,https://mexemexe02.github.io/fitness-training-olga/,2026-06-02,,,pending,demo ready — need phone number
Blanchettes Services,Jack,(705) 903-8423,,Jack,Handyman,https://mexemexe02.github.io/blanchettes-services/,2026-06-02,sms,2026-06-02,sent,SMS AUDIT 2026-06-08: sent 705-903-8423. Jack uses 705-816-3692 + blanchettesservices@gmail.com on FB/Yelp — verify. IG blanchettesservices.
Grass Barber,,,,,Landscaping,https://mexemexe02.github.io/grass-barber/,2026-06-02,,,dead,DEAD — already has website (verified domain)
Strong Roots Landscaping,,,,,Landscaping,https://mexemexe02.github.io/strong-roots-landscaping/,2026-06-02,,,dead,DEAD — already has website (verified domain)
TLC Landscapes,,,,,Landscaping,https://mexemexe02.github.io/tlc-landscapes/,2026-06-02,,,dead,DEAD — already has website (verified domain)
Eaglecrest Painting,,249-489-1013,,facebook.com/profile.php?id=100092585270153,Painting,https://mexemexe02.github.io/eaglecrest-painting/,2026-06-02,sms,2026-06-03,dead,DEAD — already has website (verified domain)
Wagg's Painting,,705-794-0345,,facebook.com/waggspainting/,Painting,https://mexemexe02.github.io/waggs-painting/,2026-06-02,sms,2026-06-03,dead,DEAD — already has website (verified domain)
Fresh Coat Painting,,905-868-6105,,facebook.com/people/Fresh-Coat-InteriorExterior-Painting/100039534506034/,Painting,https://mexemexe02.github.io/fresh-coat-painting/,2026-06-02,sms,2026-06-03,dead,DEAD — already has website (verified domain)
